movieId,title,genres
1,THE BLIND SIDE,Sport
2,COACH CARTER,Sport
3,GRIDIRON GANG,Sport
4,Ali (2001),Sport
5,A PRAYER BEFORE DAWN,Sport
6,E.T. THE EXTRA-TERRESTRIAL,Classic
7,GREASE,Classic
8,EYES WIDE SHUT,Classic
9,A BETTER TOMORROW,Classic
10,SATURDAY NIGHT FEVER,Classic
11,FRIEND ZONE,ThaiComedy|Comedy|Romance
12,Jom-Kamang-Weth,ThaiComedy
13,LADDA LAND (2011),ThaiComedy
14,Crazy Crying Lady,ThaiComedy
15,LuangPeeJazz 5G,ThaiComedy
16,CRAZY RICH ASIANS,Comedy
17,NIGHT SCHOOL,Comedy
18,ABOUT TIME,Comedy
19,MR.BEAN'S HOLIDAY,Comedy|Children and family
20,0.0 Mhz,Asia
21,HIGH & LOW The Movie,Asia
22,ALONG WITH THE GODS : THE TWO WORLDS,Asia
23,THE DRUG KING,Asia
24,HIGH & LOW,Asia
25,APOLLO 13,Award
26,THE TOWN,Award
27,THE HUNGER GAMES,Award
28,INCEPTION,Award
29,THE GODFATHER,Award
30,READY PLAYER ONE,Sci-Fi
31,BIRD BOX,Sci-Fi
32,PACIFIC RIM,Sci-Fi
34,JURASSIC WORLD: FALLEN KINGDOM,Sci-Fi
36,RAMPAGE,Sci-Fi
38,THE GREEN MILE,Drama
39,12 STRONG,Drama
40,ABOUT TIME,Drama
41,TITANIC,Drama|Romance
42,THE WOLF OF WALL STREET,Drama
43,OVER THE MOON,Children and family
44,DESPICABLE ME,Children and family
45,A BABYSITTER'S GUIDE TO MONSTER HUNTING,Children and family
46,KIKI'S DELIVERY SERVICE,Children and family|Anime
47,SECRETS OF THE SAQQARA TOMB,History|Science and nature
48,Bad Boy Billionaires,History
49,RISE OF EMPIRES: OTTOMAN,History
50,MEDAL OF HONOR,History
52,CHALLENGER: THE FINAL FLIGHT,History
53,LEAVE NO TRACE,Indy
54,THE LAST DAYS OF AMERICAN CRIME,Indy
55,AMATEUR,Indy
57,WHITE GIRL,Indy
58,SAND CASTLE,Indy
60,YOUR LIE IN APRIL,Music
61,BLACKPINK LIGHT UP THE SKY,Music
62,CAROLE & TUESDAY,Music
63,Thai bann BNK,Music
64,A Gift,Music
65,9 Satra (2018),Fantacy
66,VAN HELSING,Fantacy
68,BLUMHOUSE'S FANTASY ISLAND,Fantacy
69,DARK SHADOWS,Fantacy
70,HOMESTAY,Fantacy
71,Bad Genius,Thriller
72,SEVEN,Thriller
73,SCARFACE,Thriller
74,SAVAGES,Thriller
75,THE RED SEA DIVING RESORT,Thriller
76,LOW SEASON,Romance
77,HOLIDATE,Romance
78,High Score,Science and nature
79,NIGHT ON EARTH,Science and nature
80,EXHIBIT A,Science and nature
81,Inside Bill's Brain: Decoding Bill Gates,Science and nature
82,THE SHINING,Horror
83,TRAIN TO BUSAN,Horror
85,IT,Horror
86,Nobody Sleeps in the Woods Tonight,Horror
87,CADAVER,Horror
88,Fyre (2019),Documentary
89,THE SPEED CUBERS,Documentary
92,BRAVE BLUE WORLD,Documentary
93,HOT GIRLS WANTED,Documentary
94,LOOK MOM I CAN FLY,Documentary
95,HELLO WORLD,Anime
96,SPIRITED AWAY,Anime
97,PONYO ON THE CLIFF BY THE SEA,Anime
99,THE SECRET WORLD OF ARRIETTY,Anime
100,ESCAPE PLAN THE EXTRACTORS,Crime
101,Tom Yum Goong,Crime
102,KUNG FU TOOTSIE,Crime
103,THE BOURNE IDENTITY ,Crime
104,JOHN WICK,Crime
105,DOOMSDAY,Action
106,THE PURGE: ANARCHY,Action
107,THE MUMMY RETURNS,Action
108,CAST AWAY,Action
110,THE OLD GUARD,Action
